stop_id,stop_name,stop_lat,stop_lon
"21293","Lilydale Railway Station/Maroondah Hwy (Lilydale)","-37.7564709666414","145.346917151824"
"2131","Faraday St/Lygon St (Carlton)","-37.7990449288762","144.967367626195"
"21322","Moonee Ponds Interchange/Mt Alexander Rd (Moonee Ponds)","-37.7654909054265","144.923786976704"
"21476","Broadmeadows Railway Station/Pascoe Vale Rd (Broadmeadows)","-37.6830592775611","144.919159363235"
"21477","Broadmeadows Railway Station/Pascoe Vale Rd (Broadmeadows)","-37.6832094027923","144.9189850775"
"21611","Monash University/Wellington Rd (Clayton)","-37.9137064523644","145.131870297147"
"2169","Hampton Heath Ret Village/Hallam Rd (Hampton Park)","-38.0362598373174","145.267335687107"
"21793","Wyndham Village Shopping Centre/Morris Rd (Tarneit)","-37.8491092491404","144.706698890844"
"21794","Wyndham Village Shopping Centre/Morris Rd (Tarneit)","-37.8494373770589","144.706427341379"
"21803","Spencer St/Flinders St (Melbourne City)","-37.8214423894294","144.953506867143"
"2186","Coolavin Rd/Halton Rd (Noble Park North)","-37.9553228028382","145.197694273939"
"21890","Santa Cruz Bvd/Bridgewater Rd (Roxburgh Park)","-37.6185894255516","144.927427358869"
"21891","James Mirams Dr/Bridgewater Rd (Roxburgh Park)","-37.618640685206","144.927267321887"
"21899","Taggerty Cres/Pascoe Vale Rd (Coolaroo)","-37.6573459970964","144.927211519451"
"21914","Windrock Ave/Grand Bvd (Craigieburn)","-37.5775253640469","144.931227548473"
"21967","Altona Railway Station/Blyth St (Altona)","-37.8684468555288","144.830709266347"
"21968","Altona Railway Station/Blyth St (Altona)","-37.868263581197","144.830055325186"
"22022","Caulfield Railway Station/Sir John Monash Dr (Caulfield East)","-37.8774244390629","145.043128282152"
"22098","Herbert Rd/Melba Hwy (Yarra Glen)","-37.6574917270298","145.374428376467"
"22099","Herbert Rd/Melba Hwy (Yarra Glen)","-37.6581983955521","145.374696372038"
"22128","Thompsons Rd/South Gippsland Hwy (Cranbourne)","-38.0830213285024","145.277086626344"
"22255","Derrimut Rd/Heaths Rd (Hoppers Crossing)","-37.877522660625","144.68098854882"
"22256","Derrimut Rd/Heaths Rd (Hoppers Crossing)","-37.8773159776388","144.681017769415"
"22454","Nelson Rd/Maroondah Hwy (Lilydale)","-37.7528610345294","145.365941805661"
"2249","Gaffney St/Derby St (Pascoe Vale)","-37.7319476433199","144.945818060226"
"2252","Bell St/Turner St (Pascoe Vale South)","-37.7387672179","144.945164291449"
"22615","Central Square Shopping Centre/Central Ave (Altona Meadows)","-37.8715294247223","144.77571147968"
"22618","Ascot St/Central Ave (Altona Meadows)","-37.8704540063997","144.76413734863"
"22660","Taylors Rd/Caroline Springs Bvd (Caroline Springs)","-37.7234250518072","144.7382976545"
"22667","Taylors Rd/Caroline Springs Bvd (Caroline Springs)","-37.7236623448607","144.737984115575"
